Issuer,Year,total_AuM,AuM_Currency,Article_8_9,Percent
Amundi,2021,2064,EUR bn,780,37.79
Amundi,2022,1904,EUR bn,,
Amundi,2023,2037,EUR bn,852.94,41.87
Amundi,2024,2240,EUR bn,,
BlackRock,2021,10010,USD bn,,
BlackRock,2022,8600,USD bn,,
BlackRock,2023,10000,USD bn,,
BlackRock,2024,11600,USD bn,,
Blackstone,2021,881,USD bn,,
Blackstone,2022,975,USD bn,,
Blackstone,2023,1040.2,USD bn,,
Blackstone,2024,1127.2,USD bn,,
CITIC,2021,,,,
CITIC,2022,,,,
CITIC,2023,,,,
CITIC,2024,,,,
DWS,2021,928,EUR bn,,
DWS,2022,821,EUR bn,,
DWS,2023,896,EUR bn,,
DWS,2024,1012,EUR bn,,
KKR,2021,471,USD bn,,
KKR,2022,,"USD bn",,
KKR,2023,553,USD bn,,
KKR,2024,638,USD bn,,
Schroders,2021,731.6,GBP bn,,
Schroders,2022,737.5,GBP bn,,
Schroders,2023,750.6,GBP bn,,
Schroders,2024,778.7,GBP bn,,
State Street,2021,4100,USD bn,,
State Street,2022,3500,USD bn,,
State Street,2023,4100,USD bn,,
State Street,2024,4700,USD bn,,
